ID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,Reached.on.Time_Y.N
5725,D,Ship,5,5,287,4,low,M,4,1509,1
9059,C,Flight,3,2,227,3,high,M,5,4167,1
2325,A,Flight,2,2,255,3,low,M,59,1514,1
8235,A,Flight,6,3,229,8,medium,M,6,4600,0
3986,F,Flight,6,2,106,5,low,M,9,4038,1
7274,F,Flight,3,3,239,4,low,F,5,4084,1
4571,C,Ship,3,5,134,2,low,F,4,5291,0
3163,D,Flight,3,1,213,10,medium,M,9,4862,0
10962,F,Flight,3,2,164,4,medium,M,6,5761,0
105,A,Ship,3,3,218,3,low,M,3,2255,1
10222,B,Ship,4,5,237,5,low,F,9,1978,1
8701,D,Ship,3,2,219,3,medium,M,1,4918,1
5513,C,Ship,6,5,266,4,medium,F,6,1312,1
5221,D,Flight,6,3,292,4,low,F,10,1270,0
2812,B,Ship,3,4,230,2,medium,F,15,2302,1
4204,B,Ship,4,5,172,4,medium,M,8,5900,1
5329,D,Road,2,4,201,2,high,M,2,5115,0
3191,C,Ship,4,3,225,5,low,M,8,4195,0
2101,D,Ship,3,1,172,10,high,F,30,1294,1
790,B,Ship,3,2,138,3,medium,F,34,1159,1
9446,F,Road,4,2,259,5,low,M,6,1827,1
5620,B,Flight,3,5,165,4,low,M,6,4795,1
6529,D,Ship,4,5,186,7,medium,F,1,4357,0
8821,D,Ship,7,2,307,4,low,M,8,1551,0
7111,D,Road,5,5,235,5,medium,F,10,1393,0
1334,F,Ship,5,5,260,2,low,F,23,3065,1
4116,F,Flight,4,2,203,3,low,F,9,5296,1
9122,F,Ship,5,3,210,7,medium,F,4,4362,0
4981,D,Ship,3,1,165,3,high,F,10,4208,0
522,F,Road,4,5,149,2,medium,M,56,1141,1
6273,A,Ship,6,5,279,4,low,M,7,1447,0
6379,D,Ship,4,4,174,2,medium,F,2,5892,0
6614,F,Ship,5,1,276,5,medium,M,5,1358,1
2801,C,Ship,3,5,185,2,low,F,36,3501,1
9582,F,Road,4,4,280,3,medium,M,5,5624,0
4491,A,Ship,2,5,166,4,medium,F,3,4638,0
2144,F,Ship,3,1,154,2,medium,F,56,1300,1
3457,D,Ship,6,4,243,6,low,M,8,5218,0
9179,C,Flight,4,3,267,5,medium,F,9,1538,0
2978,F,Ship,3,4,212,8,low,F,34,2750,1
8195,C,Road,5,4,265,3,medium,M,10,4565,0
3765,A,Ship,5,4,241,3,high,M,6,4157,0
3169,D,Ship,3,1,273,6,low,F,9,1198,1
7089,A,Ship,4,1,214,5,medium,M,9,5801,0
4730,F,Ship,5,3,251,2,low,M,9,4458,0
4999,D,Ship,3,3,239,6,low,M,7,4501,1
6014,F,Road,4,3,217,6,medium,F,6,1552,0
10388,F,Road,5,1,217,2,low,F,9,4345,0
10472,F,Ship,4,3,233,5,low,M,4,1668,0
7628,F,Ship,5,5,223,3,low,M,5,4373,1
3830,F,Road,6,4,136,3,low,M,2,1187,0
2120,F,Ship,3,3,218,3,low,M,19,3770,1
6602,F,Ship,4,3,274,5,low,M,5,1512,0
10796,F,Ship,4,3,232,5,medium,F,8,1265,0
2987,C,Ship,5,1,236,3,medium,F,10,1347,1
5648,F,Ship,6,5,273,5,medium,M,10,5756,1
3739,D,Ship,5,4,263,2,high,F,8,4914,0
6628,B,Ship,5,1,245,3,low,F,9,4694,0
2825,C,Ship,4,1,180,3,medium,M,27,1551,1
5600,F,Road,4,4,164,4,medium,F,1,4365,1
8455,D,Ship,2,4,176,3,low,M,1,4509,0
6085,D,Ship,2,1,192,3,low,F,9,4774,0
3883,D,Ship,5,3,282,3,medium,M,5,4644,1
2938,B,Ship,3,2,213,4,low,M,53,3502,1
8794,B,Ship,3,5,268,2,medium,F,10,5895,0
